"median","mean","sd"
"Household Income",93.75,74.3229724166324,28.7202966187017
"Age",54,50.9534351145038,14.7856818437488
"Num Children",1,1.43672839506173,1.39104810932291
"Num Vehicles",2,2.0072629969419,0.744350809339572
"Daily VMT",22.5,23.338828549263,11.4445531652655
"Annual VMT",12000,12460.7535321821,4627.67979021464
"Household Size",2,2.69482288828338,1.18872250475361
"Years Education",8,7.93394777265745,2.27672914254466
