median,mean,sd,NA's
19.047619047619047,23.01456119637938,15.850958287397452,135
30,32.44668587896253,9.775807770828008,46
1,0.591776798825257,0.6093800490872833,59
0,0.4429347826086957,0.6298723128021921,4
22.5,21.584051724137932,10.501311192380587,508
16000,18275.462962962964,13275.236599074706,524
3,3.2489331436699858,0.9967444870411578,37
6,6.150442477876106,1.8720737351405283,62
