median,mean,sd,NA's
56.25,57.28212290502793,29.27338446537539,26
29,33.934895833333336,12.690673411369058,0
0,0.5918918918918918,1.0686156935381803,14
2,1.8272251308900525,0.842750244989447,2
22.5,22.90633608815427,10.420551229176022,21
10000,11195.402298850575,4800.550113672931,36
2,2.7026315789473685,1.311002122711766,4
8,7.202127659574468,1.8709272552203202,8
