"median","mean","sd"
"Household Income",19.047619047619,26.1318094651428,18.0095920063771
"Age",34,34.7564825253664,7.81046626035821
"Num Children",1,0.706588182023998,0.578474514187975
"Num Vehicles",0,0.473885637100405,0.659141583834356
"Daily VMT",22.5,20.6009615384615,10.4341408260203
"Annual VMT",12000,15042.966042966,10870.9158194082
"Household Size",3,3.30093543235227,1.17462776227249
"Years Education",6,6.02959135744481,1.80674690751717
