"zipcode","state","population","popdens","lat","long","urban","suburban","rural","mturk","suv","region"
34239,"FL",2785,3371.748879,27.311,-82.521,1,0,0,1,0,4
11743,"NY",11012,1664.564446,40.875,-73.414,0,1,0,1,0,5
65802,"MO",11205,696.0691824,37.221,-93.328,0,0,1,1,0,3
7106,"NJ",8681,22040.84507,40.741,-74.229,1,0,0,1,0,5
98312,"WA",8457,491.4253173,47.577,-122.758,0,0,1,1,0,1
NA,NA,NA,NA,NA,NA,0,0,0,1,0,5
55431,"MN",3808,2310.150376,44.827,-93.311,0,1,0,1,0,3
61103,"IL",6327,1422.337963,42.336,-89.072,0,1,0,1,0,3
46227,"IN",12687,3408.119403,39.679,-86.128,1,0,0,1,0,3
96740,"HI",9032,140.9398528,19.712,-155.893,0,0,1,1,0,1
32927,"FL",7166,1280.401094,28.472,-80.817,0,1,0,1,0,4
32814,"FL",12891,4659.848485,28.568,-81.328,1,0,0,1,0,4
20774,"MD",11092,1238.496977,38.892,-76.768,0,1,0,1,0,4
97086,"OR",6669,2465.402844,45.443,-122.532,0,1,0,1,0,1
98106,"WA",5898,4158.727273,47.548,-122.353,1,0,0,1,0,1
45431,"OH",6735,2296.247818,39.769,-84.076,0,1,0,1,0,3
91776,"CA",9826,11282.9912,34.087,-118.093,1,0,0,1,0,1
37849,"TN",6535,646.1675127,36.075,-84.044,0,0,1,1,0,4
49629,"MI",4448,552.9850746,44.913,-85.399,0,0,1,1,0,3
6851,"CT",6818,3499.737877,41.14,-73.405,1,0,0,1,0,5
8009,"NJ",2053,939.619883,39.757,-74.926,0,0,1,1,0,5
1970,"MA",10900,5068.92725,42.515,-70.908,1,0,0,1,0,5
29687,"SC",9987,838.5120814,34.988,-82.321,0,0,1,1,0,4
17268,"PA",7208,357.4497662,39.797,-77.592,0,0,1,1,0,5
43212,"OH",3836,5181.843575,39.986,-83.044,1,0,0,1,0,3
79101,"TX",4991,1760.625,35.205,-101.84,0,1,0,1,0,4
60417,"IL",2946,398.9479086,41.427,-87.601,0,0,1,1,0,3
29651,"SC",11066,473.0484708,34.946,-82.231,0,0,1,1,0,4
37853,"TN",8274,245.6535737,35.84,-83.9,0,0,1,1,0,4
33844,"FL",9117,338.6834986,28.07,-81.568,0,0,1,1,0,4
55369,"MN",8908,1357.429048,45.127,-93.461,0,1,0,1,0,3
92399,"CA",12438,992.0045257,34.045,-117.014,0,0,1,1,0,1
42519,"KY",7762,64.72616633,36.938,-84.521,0,0,1,1,0,4
78570,"TX",8909,436.0504089,26.141,-97.911,0,0,1,1,0,4
60201,"IL",11101,9117.336152,42.056,-87.702,1,0,0,1,0,3
92595,"CA",7555,1417.426401,33.622,-117.26,0,1,0,1,0,1
37022,"TN",11990,64.05481377,36.493,-86.295,0,0,1,1,0,4
92551,"CA",8576,5249.574106,33.881,-117.225,1,0,0,1,0,1
18017,"PA",9705,2316.409624,40.659,-75.389,0,1,0,1,0,5
89143,"NV",2027,3738.596491,36.317,-115.299,1,0,0,1,0,2
40218,"KY",8753,3253.64851,38.192,-85.657,1,0,0,1,0,4
14221,"NY",12497,2329.491083,42.985,-78.722,0,1,0,1,0,5
94710,"CA",13320,3231.627907,37.871,-122.307,1,0,0,1,0,1
19001,"PA",3398,4919.075145,40.124,-75.126,1,0,0,1,0,5
27612,"NC",9322,1867.164179,35.852,-78.702,0,1,0,1,0,4
21211,"MD",3495,6218.996416,39.328,-76.639,1,0,0,1,0,4
55106,"MN",12443,6081.89158,44.954,-93.049,1,0,0,1,0,3
3062,"NH",6816,2209.768212,42.73,-71.495,0,1,0,1,0,5
