16,0.0004,0.0004
17,0.0006,0.001
18,0.0011,0.0021
19,0.0015,0.0036
20,0.0026,0.0062
21,0.0038,0.01
22,0.0058,0.0158
23,0.0083,0.0241
24,0.0088,0.0329
25,0.0093,0.0422
26,0.0105,0.0527
27,0.0104,0.0631
28,0.0113,0.0744
29,0.0121,0.0865
30,0.0137,0.1002
31,0.0118,0.112
32,0.0128,0.1248
33,0.0127,0.1375
34,0.0134,0.1509
35,0.0123,0.1632
36,0.0126,0.1758
37,0.012,0.1878
38,0.0122,0.2
39,0.0129,0.2129
40,0.017,0.2299
41,0.0142,0.2441
42,0.016,0.2601
43,0.0147,0.2748
44,0.0146,0.2894
45,0.0183,0.3077
46,0.0172,0.3249
47,0.0202,0.3451
48,0.0187,0.3638
49,0.019,0.3828
50,0.0254,0.4082
51,0.0194,0.4276
52,0.0223,0.4499
53,0.0224,0.4723
54,0.0224,0.4947
55,0.0261,0.5208
56,0.0236,0.5444
57,0.0233,0.5677
58,0.0241,0.5918
59,0.0254,0.6172
60,0.028,0.6452
61,0.0221,0.6673
62,0.0277,0.695
63,0.0269,0.7219
64,0.0275,0.7494
65,0.0256,0.775
66,0.0218,0.7968
67,0.0205,0.8173
68,0.0212,0.8385
69,0.0186,0.8571
70,0.0183,0.8754
71,0.0141,0.8895
72,0.0142,0.9037
73,0.0122,0.9159
74,0.0109,0.9268
75,0.0113,0.9381
76,0.0088,0.9469
77,0.0074,0.9543
78,0.007,0.9613
79,0.0063,0.9676
80,0.0069,0.9745
81,0.005,0.9795
82,0.0046,0.9841
83,0.0032,0.9873
84,0.0029,0.9902
85,0.0027,0.9929
86,0.0019,0.9948
87,0.0014,0.9962
88,0.0012,0.9974
89,0.0007,0.9981
90,0.0004,0.9985
91,0.0004,0.9989
92,0.0002,0.9991
93,0.0001,0.9992
94,0,0.9992
