15,0.015,0.015
17.5,0.017,0.032
22.5,0.022,0.054
27.5,0.029,0.083
32.5,0.034,0.117
37.5,0.039,0.156
42.5,0.036,0.192
47.5,0.047,0.239
52.5,0.050,0.289
60,0.065,0.354
70,0.071,0.425
80,0.080,0.505
92.5,0.108,0.613
100,0.388,1.000
